nome;concretezza;animato;pattern;pattern_semispec;vsupp;frequenza;verbo;Var1
abitudine;astratto;non_animato;VPrepN;V di N;essere;20;essere di abitudine;essere di abitudine
accordo;astratto;non_animato;VPrepN;V di N;andare;297;andare di accordo;andare di accordo
accordo;astratto;non_animato;VPrepN;V di N;essere;3387;essere di accordo;essere di accordo
accordo;astratto;non_animato;VPrepN;V in N;essere;149;essere in accordo;essere in accordo
accordo;astratto;non_animato;VDetN;V det_indef N;fare;106;fare un(/il) accordo;fare il accordo
accordo;astratto;non_animato;VDetN;V det_indef N;fare;106;fare un(/il) accordo;fare un accordo
accordo;astratto;non_animato;VPrepN;V di N;mettere;604;mettere di accordo;mettere di accordo
accordo;astratto;non_animato;VPrepN;V in N;mettere;5;mettere in accordo;mettere in accordo
acqua;concreto;non_animato;VN;VN;fare;9;fare acqua;fare acqua
acqua;concreto;non_animato;VPrepN;V in N;mettere;26;mettere in acqua;mettere in acqua
addio;astratto;non_animato;VDetN;V det_indef N;dare;6;dare un addio;dare un addio
affare;astratto;non_animato;VPrepN;V in N;essere;38;essere in affare;essere in affare
affare;astratto;non_animato;VDetN;V det_def N;fare;79;fare il affare;fare il affare
affare;astratto;non_animato;VPrepN;V in N;mettere;36;mettere in affare;mettere in affare
agente;concreto;umano;VPrepN;V da N;fare;5;fare da agente;fare da agente
agricoltura;astratto;non_animato;VN;VN;fare;9;fare agricoltura;fare agricoltura
aiuto;astratto;non_animato;VPrepN;V in N;andare;52;andare in aiuto;andare in aiuto
aiuto;astratto;non_animato;V(Det)N;V (det_indef) N;dare;109;dare (un) aiuto;dare aiuto
aiuto;astratto;non_animato;V(Det)N;V (det_indef) N;dare;109;dare (un) aiuto;dare un aiuto
aiuto;astratto;non_animato;VPrepN;V di N;essere;249;essere di aiuto;essere di aiuto
aiuto;astratto;non_animato;VPrepN;V di N;essere;163;essere di aiuto;essere di aiuto
americano;concreto;non_animato;VDetN;V det_def N;fare;24;fare il americano;fare il americano
amicizia;astratto;non_animato;VPrepN;V in N;essere;18;essere in amicizia;essere in amicizia
amicizia;astratto;non_animato;VN;VN;fare;144;fare amicizia;fare amicizia
amico;astratto;non_animato;VPrepN;V da N;fare;5;fare da amico;fare da amico
amico;astratto;non_animato;VDetN;V det_def N;fare;7;fare il amico;fare il amico
amministrazione;astratto;non_animato;VPrepN;V sotto N;essere;12;essere sotto amministrazione;essere sotto amministrazione
amore;astratto;non_animato;VN;VN;dare;11;dare amore;dare amore
amore;astratto;non_animato;VPrepN;V in N;essere;5;essere in amore;essere in amore
anello;concreto;non_animato;VPrepN;V da N;fare;5;fare da anello;fare da anello
angelo;concreto;umano;VPrepN;V da N;fare;8;fare da angelo;fare da angelo
anima;astratto;non_animato;VN;VN;dare;5;dare anima;dare anima
